Receipt,Store Name,Item Name,Amount
13.jpg,Walmart,AL,50.0
13.jpg,Walmart,TOIAL,50.0
13.jpg,Walmart,CHANGE UE,10.0
13.jpg,Walmart,0.00 50.09,50.0
13.jpg,Walmart,TOTAL,0.0
14.jpg,Walmart,Tax 1,7.0
14.jpg,Walmart,TOTAL,0.0
15.jpg,Walmart,CHANGE DUE,0.0
15.jpg,Walmart,TOTAL,0.0
16.jpg,Walmart,6 WING PLATE 020108870398,3.98
16.jpg,Walmart,ASST 27 063099656595,4.88
16.jpg,Walmart,CUTIE CAR 063099656644,12.88
16.jpg,Walmart,TAX 1,6.5
16.jpg,Walmart,TAX 4,7.5
16.jpg,Walmart,DEBIT TEND,23.19
16.jpg,Walmart,CHANGE DUE,0.0
16.jpg,Walmart,TOTAL,23.19
17.jpg,Walmart,54,0.95
17.jpg,Walmart,OS CI OM 003120027015 F,2.0
17.jpg,Walmart,STRWBRY CC 076471782200 F,0.96
17.jpg,Walmart,CAMPARI TOM 073447501213 I,2.98
17.jpg,Walmart,KFT SINGLES 002100061526 F,3.78
17.jpg,Walmart,eee,3.98
17.jpg,Walmart,HARD SALAMI 10343 F,3.43
17.jpg,Walmart,AT 1 FOR,1.76
17.jpg,Walmart,aug WHITE Bear 311 3et9 F,1.0
17.jpg,Walmart,H NYLON COL 00741702,2.97
17.jpg,Walmart,41261 00008,1.67
17.jpg,Walmart,INJECTR CLNR 004980710003,8.87
17.jpg,Walmart,TAX 1,7.9
17.jpg,Walmart,TAX 2,6.0
17.jpg,Walmart,TAX 5,2.9
17.jpg,Walmart,CASH TEND,40.68
17.jpg,Walmart,CHANGE DUE,2.0
17.jpg,Walmart,TOTAL,38.68
18.jpg,Walmart,TAX 1,7.0
18.jpg,Walmart,TOTAL,0.0
19.jpg,Walmart,SHOP..CARD. REDEMPTION.,35.05
19.jpg,Walmart,TOTAL,0.0
2.jpg,Walmart,OT 2002 TUM 081236803115,6.74
2.jpg,Walmart,M ATHLETICS 019104567781,24.97
2.jpg,Walmart,DEXAS 15X20 008429710921,12.97
2.jpg,Walmart,TAX 1,7.75
2.jpg,Walmart,DEBIT TEND,49.9
2.jpg,Walmart,CHANGE DUE,0.0
2.jpg,Walmart,TOTAL,49.9
3.jpg,Walmart,WAS,4.54
3.jpg,Walmart,TOTAL,0.0
4.jpg,Walmart,Sama,6.94
4.jpg,Walmart,TAK 1,7.0
4.jpg,Walmart,TOTAL,0.0
7.jpg,Walmart,6 WING PLATE 020108870398,3.98
7.jpg,Walmart,ASST 27 063099656595,4.88
7.jpg,Walmart,CUTIE CAR 063099656644,12.88
7.jpg,Walmart,TAX 1,6.5
7.jpg,Walmart,TAX 4,7.5
7.jpg,Walmart,DEBIT TEND,23.19
7.jpg,Walmart,CHANGE DUE,0.0
7.jpg,Walmart,TOTAL,23.19
